,content,scenery_name,score,send_time,user_name
0,人生就是一列开往坟墓的列车，路途上会有很多站，很难有人可以自始至终陪着走完。当然陪你的人要下车的时，即使不舍也该心存感激，然后挥手道别——宫崎骏《千与千寻》相信很多人都是看过千与千寻，古朴热闹的街道，张灯结彩的楼宇，种类繁多的美食。在洪崖洞，你可以亲自走进动画般的美景。洪崖洞，位于重庆直辖市核心商圈解放碑沧白路，长江、嘉陵江两江交汇的滨江地带，以具巴渝传统建筑特色的“吊脚楼”...,洪崖洞民俗风貌区,5,2018-01-14,Suckerrrr
0,我个人认为洪崖洞是所有重庆景点中最赞的一个，都说重庆的夜景有“小香港”之称，我想洪崖洞的贡献应该不在少数，如果想来这里拍夜景的游客，我建议你带好三角架，在江对面去拍，人会少一些，否则你的三脚架会很难找到地方施展开来。洪崖洞的建筑很特别，依山而建，总共有十一层，需要坐电梯上去，顶层可以看夜景，也可以走到解放碑。最独特的是，一楼出门是马路，十一楼出门居然还是马路。看过千与千寻的朋友...,洪崖洞民俗风貌区,5,2018-01-09,Fann_Von
0,从解放碑到洪崖洞大概10分钟路程，很近，可以步行到达。走过去的时候你会发现重庆的楼梯真的好多。你会觉得重庆的楼梯实在是太可爱了，让你走的好累，你还想去看景。 洪崖洞是4A景区，但是是不收门票的，洪崖洞总共有11层，可以走过道到达每一层，也可以坐电梯。你会发现你坐电梯坐不明白了，你可以感受一下十一楼和一楼出去都是马路的特别。洪崖洞里边有很多商铺咖啡厅和酒吧，到了晚上是最热闹的。可以在这...,洪崖洞民俗风貌区,5,2018-01-06,追风高原
0,洪崖洞是重庆必去景点，它的夜景就像千与千寻的现实版，雄伟又梦幻！  洪崖洞，位于重庆直辖市核心商圈解放碑沧白路，长江、嘉陵江两江交汇的滨江地带，坐拥城市旅游景观、商务休闲景观和城市人文景观于一体。以具巴渝传统建筑特色的“吊脚楼”风貌为主体，依山就势，沿江而建，解放碑直达江滨！  坐轻轨到小什字往下走二三百米到洪崖洞，在解放碑也能走到洪崖洞，洪崖洞也有公交车站，按你出发的地点决定...,洪崖洞民俗风貌区,5,2016-05-21,o樂樂o
0,对于外地人，要到重庆去，第一个想到的景点估计就是洪崖洞，这是巴渝独具特色的吊脚楼建筑，依山而建，面临江水，再也找不出第二个了，而且这个旅游景点免费，大家对它的热情度简直是满分。洪崖洞离解放碑很近，就在重庆美术馆的坡下方，相距才十分钟路程，建议白天去一棵树观景平台俯瞰重庆全貌，晚上来洪崖洞和解放碑走走。晚上的洪崖洞五光十色、光怪陆离，更好看！洪崖洞共有十一层，楼顶是极好的观景平台...,洪崖洞民俗风貌区,5,2015-04-15,豆苗222
0,  从解放碑处步行过来的，走了二十分钟，有点后悔蛮好打车的。洪崖洞是依江而建的吊脚楼，里面从上到下大概10多层，最上面有一个洪崖洞酒店，还有江搤炮台的雕像，黄包车的雕像，旁边茶楼热闹非凡，4楼还有美食街，就是人实在太多了，吃了碗龙抄手小吃很香，凉粉也不错。洪崖洞的建筑风格都是传统川式民居，一路过来看到很多铜像，反映的是重庆人民的生活，吃火锅的、剃头的、拉黄包车的、看独角戏的，很有复...,洪崖洞民俗风貌区,5,2014-04-25,临水而立-持默
0,很有特色的巴渝吊脚楼，上面还有一间海盗酒吧很cool，推荐小伙伴们就近去坐过江索道，票价3元，飘飘荡荡的从江上晃过来，再上吊脚楼大吃一顿。在楼上看到有空中花园、高级酒店、各种商铺和饭店，楼上还有手工艺人，刻个章带走，可以做个纪念。 晚上的夜景超级赞，远处看过去，真的有点像千与千寻里面那个繁华的大澡堂，里面的餐饮、消费有点虚高，看看建筑倒是不错的选择。 由于长江、嘉陵江横跨城区，重庆所...,洪崖洞民俗风貌区,5,2014-04-21,Nancy_JJ
0,秋季来啦～重庆淡季非常适合旅游，今天跟大家分享一下三天两夜网红游攻略，希望可以帮到大家💃.💛出行建议❶重庆秋季很短，是一年中的乱穿衣时期，大家提前看天气根据平时自己的穿衣习惯来❷重庆秋季多小雨🌧️，出门要随身携带雨具❸提前申请重庆交通码，下飞机/高铁可以直接使用坐车❹大家来重庆✈️或高铁🚄都很方便，如果高铁前往建议大家买重庆北站。西站离市区远，🈚️直达交通路线❺...,洪崖洞民俗风貌区,0,2020-09-18,盛唐
0,重庆攻略｜洪崖洞手绘解析🙆洪崖洞有着《千与千寻》的夜景，也算重庆的地标建筑，现在发一个手绘解析，希望可以帮助到想来洪崖洞的集美💗——👉旅游准备✅口罩：虽然重庆不是疫情的高峰期，但必要防护也是需要的，随时佩戴口罩。✅渝康码：这个码可以在微信小程序搜索“重庆健康出行一码通”就可以，是出行、住宿的必备码。✅交通码：交通码在zfb搜索“重庆交运通乘车码”就可以，可以做公交和轻...,洪崖洞民俗风貌区,5,2021-02-20,9264huahua
0,洪崖洞,洪崖洞民俗风貌区,0,,去哪儿用户
0,洪崖洞，位于重庆直辖市沧白路、长江，嘉陵江两江交汇的滨江地带。洪崖洞总共有11层，可以走过道和楼梯到达每一层，也可以坐电梯（电梯排队的人很多，走楼梯比较节省时间）。洪崖洞的1-3层：卖纪念品可以随便逛逛，4层：修建半露天的小吃街实在太带感了旁边还有火锅店。很喜欢在里面闲逛的感觉。5-8层：为酒店。在洪崖洞上放还可以看到对面的夜景，也是拍照最佳机位，右边是千斯门大桥，据说它是唯一一个可...,洪崖洞民俗风貌区,5,2018-02-13,背包小林
0,重庆，乃有“山城”“雾都”之称，对于一名游客来说，必赏夜景当然是洪崖洞～1、地理位置：洪崖洞，位于重庆直辖市沧白路、长江，嘉陵江两江交汇的滨江地带。以巴渝传统建筑特色的“吊脚楼”风貌为主体，依山就势，沿江而建，解放碑直达江滨。右侧就是千厮门大桥。2、交通：步行，我们订的民宿在解放碑附近，步行过来十分钟左右3、门票：免费4、游玩时间：2-3个钟（最好在晚上7:00-9:00）5、住宿：...,洪崖洞民俗风貌区,5,2018-01-17,萌如
0,⛰️山城雾都重庆⛰️这是每年都会来一两次的地方，几乎每次过来都是比赛的。前一年拿了齐舞第四名📌洪崖洞是重庆必须到的地方。夜景绝对超乎你的想象，原谅我的摄影水平，洪崖洞位于渝中区滨江地带，依山傍江的吊脚楼在夜晚开启灯火后像极了漫画里的场景。📌去洪崖洞可以在地铁小什字站或者解放碑下车然后步行一段距离即可路上都是好吃的好玩的，也可以拍照打卡在这个城市里一楼大马路，上了13楼...,洪崖洞民俗风貌区,5,2019-05-19,路易斯
0,洪崖洞，原名洪崖门，是古重庆城门之一，位于重庆市解放碑沧白路，地处长江、嘉陵江两江交汇的滨江地带，以其巴渝传统建筑和民俗风貌特色而出名。重庆洪崖洞由文化休闲业态，大致上由餐饮休闲、酒吧休闲、文化休闲、娱乐休闲、保健休闲、运动休闲、购物休闲和旅游休闲八部分构成。洪崖洞也聚集了吊脚楼、集镇老街、巴文化。并且有纸盐河街江畔酒吧街、天成巷巴渝风情街、洪崖洞盛宴美食街、城市阳台异域风情...,洪崖洞民俗风貌区,5,2018-11-04,SURROUND-
0,洪崖洞现在已经是一个网红胜地了，这里的人都是从各地飞奔过来打卡的。洪崖洞是一个集餐饮、娱乐、休闲、酒店和特色文化购物等 于一体的古建筑群。沿江而建，依山就势的吊脚楼建筑就是洪崖洞的最大特色了。听说，白天的洪崖洞就是一个素颜的姑娘，而晚上的洪崖洞就是一个浓妆艳抹的女孩。很多人来这里都是为了看洪崖洞的夜景，灯光璀璨，据说晚上的洪崖洞都是挤满了人，热闹非凡。但白天“素颜”的洪崖洞也是...,洪崖洞民俗风貌区,5,2018-10-08,小樱子angel
0,洪崖洞依山就势、沿江而建，集萃了以具巴渝传统建筑特色的吊脚楼风貌精华于一身，在灯火辉煌之时，像极了宫崎骏动画电影《千与千寻》中浮世绘画卷般不思议之街的汤屋，以至于网络上一度疯传它就是《千与千寻》的取景地~ 夜色中它通明透亮、富丽堂皇，充满异世界的神秘感，用任何言语都无法准确描绘出它的美，就像是一件令人神魂颠倒的艺术品~洪崖洞，十一层楼全部依山而建，层层叠叠，而且都是木质的，顶层是...,洪崖洞民俗风貌区,5,2018-01-23,榕榕同学
0,洪崖洞位于重庆市核心商圈解放碑沧白路，长江、嘉陵江两江交汇的滨江地带，坐拥城市旅游景观、商务休闲景观和城市人文景观于一体。洪崖洞不是老重庆的景区，属于重庆后来修建的景观。我一直以为是古建筑。就单单论这个景区而言，商业化太严重了，从一楼到顶楼都全部是商铺。但是坐在临江的咖啡店喝一杯咖啡，看看江景，吹吹江风，感觉也是十分舒服的。喔最喜欢站在洪崖洞的观景平台上欣赏日落的景色了，十分迷...,洪崖洞民俗风貌区,5,2016-08-19,廖大聪
0,⚡️重庆最火的景点非洪崖洞莫属了，更是被称为是《千与千寻》里“不可思议之镇”的现实版。🏙立体重叠的建筑、🌟璀璨的灯光和令人神往的神秘感，都非常像是从漫画中走出来一般。作为重庆土著，这次就给你盘点几个洪崖洞📷拍照观景的好位置，绝对能够拍出洪崖洞最美的一面！1⃣️是洪崖洞一层前面的大马路。这里是最经典的位置，也是最为人所知的位置。可以近距离感受洪崖洞建筑的魅力。🌟璀璨的灯...,洪崖洞民俗风貌区,5,2019-10-13,祐山
0,洪崖洞属于重庆市地标建筑，也是必打卡的景点之一！作为千与千寻的中国版其夜景还是超级超级美的。我们住在解放碑附近，从解放碑一路下去大约走十分钟左右就到了，如果找不到可以问下当地人的哈，重庆人民都特别热情，遇到热情的阿姨还会不放心亲自带你去😂但是好多当地人是不会说普通话的，懂大概意思就好。不建议打车去洪崖洞，因为洪崖洞人流量特别大，会很堵车，可以选择打车到附近的解放碑然后走着去...,洪崖洞民俗风貌区,5,2018-05-19,呀呀呀虎牙小朋友呀
0,"洪崖洞，原名洪崖门，是古重庆城门之一，位于重庆市解放碑沧白路，地处长江、嘉陵江两江交汇的滨江地带。主要景点由吊脚楼、仿古商业街等景观组成。洪崖洞可以说是重庆市一张城市名片。作为免费的开放式景区，推荐夜间游览，由于重庆独特地势，在这里总能看到层层叠叠的灯光和吊脚群楼交相辉映，非常壮观。洪崖洞也是千与千寻的取景地，夜景非常值得一看！🚩位置：轨道交通2号线""临江门""站A出口          ...",洪崖洞民俗风貌区,5,2018-08-02,黄景瑜的小babe
0,由于还准备去uniqlo买一件队服，所以来到了解放碑商圈，打算找一下商店。女生们回家以后又出来洗头了，剩下两个男生在家洗澡。顺带说一下，我们的民宿的热水器从第二天起，热水供应就断断续续，后来几天都没洗上一个痛快的澡。由于他们都没洗完，一身臭汗的我，背着一个三脚架，来到解放碑这里拍延时。展开三脚架，拍了几张照片试了一下曝光效果，就开始拍了。拍延时的期间，单反的屏幕以及取景器都被我关闭了...,解放碑步行街,0,2017-06-27,frankfmeng
0,重庆的交通也在大规模建设和投用之中，和中国大多数城市一样，道路交通的修建速度远赶不上车辆增长的速度石门大桥夜色，嘉陵江上最美桥梁重庆的交通也在大规模建设和投用之中，和中国大多数城市一样，道路交通的修建速度远赶不上车辆增长的速度石门大桥夜色，嘉陵江上最美桥梁多重曝光下的城市立交桥重庆最有特色的黄色出租车在慢门下凸显出黑色城市的质感由于市内交通受到地形限制，而且老城区道路扩建成本...,解放碑步行街,0,2017-02-16,菁卷菜
0,坐了两个小时动车，到了重庆，去了酒店，放好行李，就去了解放碑，选择这里一个原因是因为离酒店近，再一个就是因为解放碑附近真的有很多好吃的。,解放碑步行街,0,2016-06-28,Karen-LinLin
0,小梁导游人十分友善，也很负责任。,解放碑步行街,0,2019-08-05,去哪儿用户
0,解放碑位于重庆市中心，周边各种商业体聚集围绕，从奢侈品到小吃各种档次价格的品牌商品应有尽有。吃完饭，解放碑已然亮灯，比白天更添繁华，八点整，钟声响起，宣告着重庆充满活力的夜正式到来。,解放碑步行街,4,2019-07-08,土士土士土
0,重庆，多么好听多么喜庆，山城，雾都，白天和夜晚的感觉差异，在自己体现的淋漓尽致，一个字，美,解放碑步行街,5,2018-07-01,ahhg5963
0,解放碑步行街应该是重庆最繁华的地段，四周全是一座又一座华丽的高层建筑。每当夜幕降临时，这里霓虹闪烁，流光溢彩，人来人往，热闹非凡，在这里可以感受到大城市的美，感受大城市的繁华。,解放碑步行街,4,2018-05-07,花姐sc
0,人多起床就慢，我们六个人9点多开始起床，等到快11点才出门。因为已经临近中午，就直奔解放碑。看到解放碑后，大家都表示很失望，哈哈哈哈哈哈，现在解放碑夹在一堆商圈里面，确实不怎么起眼。然后拍游客照解放碑解放碑溜了溜了。。。中午大家都很饿了，只好附近找吃的，找了一家卖小面的。小面这家真的是不好吃，旅游景点的东西劝大家还是不要吃了。吃完后，又吃了旁边的一家山城汤圆，emmmm，景点里的东...,解放碑步行街,5,2018-05-06,qunar用户
0,跟女友一起去玩的    感觉挺浪漫的,解放碑步行街,5,,最凉不过秂心
0,从大坪龙湖时代到解放碑打车的话十几块钱就可以到。也可以选择就在石油路站坐地铁过去，从酒店出门，大概150米处就有石油路-地铁站。从酒店下楼到商场里直接可以走到地铁站，避免享受重庆的毒辣阳光。名字：鲜果飞饼菠萝飞饼🍍13元一份地址☝️解放碑民权路89号喜欢榴莲的朋友也可以点榴莲味，香蕉🍌味的也很不错。这家是在一条美食街上距离解放碑步行，大概五分钟的距离就可以到，然后她们家右边下梯...,解放碑步行街,0,2022-06-28,叫我黄大帅
0,服务好还便宜，行程紧凑不浪费时间，导游说话简洁明了，非常赞的体验！,解放碑步行街,0,2019-07-12,ujxc3247
0,非常好的体验，导游人非常好！,解放碑步行街,0,2021-03-07,ukaz6007
0,包车7个小时畅玩还是有点赶时间，先坐了4号滑梯，再排了3个多小时坐了悬崖秋千，然后是玻璃栈道和丛林飞跃，友情提示丛林飞跃真的很难，软妹子不要轻易尝试，一旦开走就下不来了，全程走完真的很需要勇气，悬崖秋千平均1小时坐12人，刺激还是刺激，就是排队太累了。,解放碑步行街,0,2018-04-18,sjmg8890
0,临时决定的来武隆，网上订票客服安排行程，次日楼下汇合接送。喀斯特地貌真的美。一路上小姐姐的服务很贴心热情。有机会下次打卡仙女山，领略山顶草原风光。,解放碑步行街,0,2020-10-23,去哪儿用户
0,玩得很开心哦，导游在前一天联系告诉上车的时间，导游小姐姐讲解的游玩攻略很不错哦，玩到了自己想玩的步步惊心，哈哈哈还是很刺激的,解放碑步行街,0,2018-11-15,ognu1366
0,因为天气原因。好多不开放，没有提前问导游园区天气，导致冷得受不了租外套，有点失策，总体还好吧，还是挺美的,解放碑步行街,0,2020-11-02,zsyyingss
0,中午到达重庆江北机场后，因在网上订的酒店在解放碑附近，无缝衔接搭轻轨3号线经过19个站到牛角沱，转2号线经过四个站到临江口，然后步行到解放碑。重庆的地铁很方便，能直接到好多地方，而且不担晚点现象。到达解放碑约两点钟，找了一家九锅一堂正阳街店吃了午饭，花了149.9元，这是到重庆吃的第一餐，个人感觉还可以，一个小帅哥服务员挺热情的。吃饭喝足后直奔怡乐公寓酒店，这酒店有点旧，而且设施简单，...,解放碑步行街,3,2017-08-10,情系半生
0,行程安排非常好，很合理，蔺导很贴心，感谢一路的照顾。武隆的大自然魅力，非常震撼,解放碑步行街,0,2019-12-12,ptwa8323
0,雪景特别美，导游谢开英人特别和善，唱歌很好听哟,解放碑步行街,0,2019-01-05,kmxr6277
0,第三天本来打算去大学城，川美，涂鸦街，不过对不起我们太懒了，观音桥也没去，长江索道也是没去，可以说是很佛了，就在解放碑商圈吃吃喝喝了😋滴滴解放碑打卡，也没有见到很多网红或者小姐姐感觉都是外地人，我还被人问路了好几次我想说我也是外地人😂抄手推荐3颗星～合适吃不了辣椒的宝贝们早上吃的抄手～我们那里叫云吞😋姜味浓，个人更喜欢云吞大家好，允许我隆重介绍一下临江门解放碑出口对面的这...,解放碑步行街,3,2018-04-28,Aqian阿人青
0,全程服务很好，小刘小姐姐导游也特别有耐心，风景绝美，值得一看，不虚此行,解放碑步行街,0,2020-10-24,zycm0929
0,服务好，在酒店门口接的。冉导游负责任。风景绝佳，值得一游！龙水峡水雾太大，提前准备好了雨衣和水！,解放碑步行街,0,2020-10-17,qunar用户
0,重庆的解放碑是一个地标性的标志，是去重庆的游客一定会打卡的地方，解放碑步行街的长度还挺长的，周边高楼数量很多，可以感受到重庆现代化发展的魅力，到了晚上灯光开启后就更漂亮了。,解放碑步行街,5,2020-11-19,maomaowinds
0,行程不错，导游小姐姐不错，讲的重庆美食很实在。途中遇见不错的驴友一起玩耍，就是自己胆子小了点,解放碑步行街,0,2019-04-04,qnuv4729
0,感谢行助青青带我去武隆嗨，对于我的疑惑，耐心解答。一直都是在电视电影中了解到武隆，去了之后看到了黄金甲的拍摄地天生三桥，还有变4，特别是爸爸去哪儿中的天坑景观都记忆犹新。喜欢大自然的山山水水，喜欢印象中的哭嫁歌，可惜网上搜不到这首歌,解放碑步行街,0,2018-07-30,chrislyly
0,小刘导游很认真负责，科普了当地的民俗文化，头等舱座椅很舒服，虽然爬天坑地缝很累，但整个行程充实又愉快，会推荐朋友选择。,解放碑步行街,0,2021-03-22,zzin3308
0,导游钟导很负责，全程细心讲解，很照顾大家，景点也挺不错的，还是很划算的,解放碑步行街,0,2021-02-16,vmyn2181
